batchsize,trial_id,engine,elapsed_time
464,35,XGBoost,0.00248528
464,36,XGBoost,0.00244832
464,37,XGBoost,0.00242972
464,38,XGBoost,0.00248718
464,39,XGBoost,0.00247574
464,40,XGBoost,0.00243402
464,41,XGBoost,0.00245857
464,42,XGBoost,0.00243115
464,43,XGBoost,0.00246334
464,44,XGBoost,0.00245309
464,45,XGBoost,0.00246477
464,46,XGBoost,0.00244665
464,47,XGBoost,0.00247693
464,48,XGBoost,0.00250077
464,49,XGBoost,0.00247526
464,50,XGBoost,0.00245714
464,51,XGBoost,0.00246048
464,52,XGBoost,0.00241899
464,53,XGBoost,0.00242019
464,54,XGBoost,0.00244617
464,55,XGBoost,0.0025816
464,56,XGBoost,0.00242662
464,57,XGBoost,0.00241971
464,58,XGBoost,0.0025053
464,59,XGBoost,0.00245214
464,60,XGBoost,0.00243902
464,61,XGBoost,0.00242805
464,62,XGBoost,0.0024147
464,63,XGBoost,0.00250649
464,64,XGBoost,0.00245953
464,65,XGBoost,0.0024395
464,66,XGBoost,0.00245261
464,67,XGBoost,0.00244021
464,68,XGBoost,0.028585
464,69,XGBoost,0.00249767
464,70,XGBoost,0.00248003
464,71,XGBoost,0.00244451
464,72,XGBoost,0.00242543
464,73,XGBoost,0.00246763
464,74,XGBoost,0.00247884
464,75,XGBoost,0.00247431
464,76,XGBoost,0.00248241
464,77,XGBoost,0.0024507
464,78,XGBoost,0.00245404
464,79,XGBoost,0.00246477
464,80,XGBoost,0.00246
464,81,XGBoost,0.00244451
464,82,XGBoost,0.00242186
464,83,XGBoost,0.00243568
464,84,XGBoost,0.00247002
464,85,XGBoost,0.00242019
464,86,XGBoost,0.00247169
464,87,XGBoost,0.00245881
464,88,XGBoost,0.00244045
464,89,XGBoost,0.00243855
464,90,XGBoost,0.00244188
464,91,XGBoost,0.00243735
464,92,XGBoost,0.00248075
464,93,XGBoost,0.00245214
464,94,XGBoost,0.00244284
464,95,XGBoost,0.00245786
464,96,XGBoost,0.0024519
464,97,XGBoost,0.00245428
464,98,XGBoost,0.00247359
464,99,XGBoost,0.00247979
464,100,XGBoost,0.00244093
1000,1,XGBoost,0.00440693
1000,2,XGBoost,0.00438643
1000,3,XGBoost,0.00436378
1000,4,XGBoost,0.00444865
1000,5,XGBoost,0.00434995
1000,6,XGBoost,0.00441194
1000,7,XGBoost,0.00439477
1000,8,XGBoost,0.00440335
1000,9,XGBoost,0.00439286
1000,10,XGBoost,0.00434995
1000,11,XGBoost,0.00442171
1000,12,XGBoost,0.00446534
1000,13,XGBoost,0.00436759
1000,14,XGBoost,0.00438285
1000,15,XGBoost,0.00438786
1000,16,XGBoost,0.00440621
1000,17,XGBoost,0.00444031
1000,18,XGBoost,0.0044353
1000,19,XGBoost,0.00431705
1000,20,XGBoost,0.00441098
1000,21,XGBoost,0.028403
1000,22,XGBoost,0.00437427
1000,23,XGBoost,0.00440073
1000,24,XGBoost,0.00432396
1000,25,XGBoost,0.00434828
1000,26,XGBoost,0.0043726
1000,27,XGBoost,0.00434089
1000,28,XGBoost,0.00439262
1000,29,XGBoost,0.00440168
1000,30,XGBoost,0.00439501
1000,31,XGBoost,0.00440979
1000,32,XGBoost,0.00441957
1000,33,XGBoost,0.00439501
1000,34,XGBoost,0.00445652
1000,35,XGBoost,0.00440526
1000,36,XGBoost,0.00436449
1000,37,XGBoost,0.00438857
1000,38,XGBoost,0.00445676
1000,39,XGBoost,0.00442171
1000,40,XGBoost,0.00434899
1000,41,XGBoost,0.00437832
1000,42,XGBoost,0.00439715
1000,43,XGBoost,0.0270486
1000,44,XGBoost,0.00440693
1000,45,XGBoost,0.00437427
1000,46,XGBoost,0.00436926
1000,47,XGBoost,0.00437546
1000,48,XGBoost,0.00437236
1000,49,XGBoost,0.00434756
1000,50,XGBoost,0.00437284
1000,51,XGBoost,0.00436783
1000,52,XGBoost,0.00437236
1000,53,XGBoost,0.00439978
1000,54,XGBoost,0.00440359
1000,55,XGBoost,0.00441289
1000,56,XGBoost,0.00436401
1000,57,XGBoost,0.00439739
1000,58,XGBoost,0.00439286
1000,59,XGBoost,0.00443292
1000,60,XGBoost,0.00439668
1000,61,XGBoost,0.00441241
1000,62,XGBoost,0.00438976
1000,63,XGBoost,0.00443006
1000,64,XGBoost,0.00438547
1000,65,XGBoost,0.00434566
1000,66,XGBoost,0.00436974
1000,67,XGBoost,0.00440454
1000,68,XGBoost,0.00438976
1000,69,XGBoost,0.00439048
1000,70,XGBoost,0.00440145
1000,71,XGBoost,0.0044024
1000,72,XGBoost,0.00443149
1000,73,XGBoost,0.00438929
1000,74,XGBoost,0.00438023
1000,75,XGBoost,0.00438094
1000,76,XGBoost,0.00435162
1000,77,XGBoost,0.00436783
1000,78,XGBoost,0.00434494
1000,79,XGBoost,0.00440454
1000,80,XGBoost,0.00440335
1000,81,XGBoost,0.00435567
1000,82,XGBoost,0.00439811
1000,83,XGBoost,0.00437427
1000,84,XGBoost,0.00437474
1000,85,XGBoost,0.00441575
1000,86,XGBoost,0.00436568
1000,87,XGBoost,0.00439334
1000,88,XGBoost,0.00436926
1000,89,XGBoost,0.00441074
1000,90,XGBoost,0.00438905
1000,91,XGBoost,0.00438547
1000,92,XGBoost,0.004354
1000,93,XGBoost,0.00439215
1000,94,XGBoost,0.027941
1000,95,XGBoost,0.00436902
1000,96,XGBoost,0.00436997
1000,97,XGBoost,0.00442958
1000,98,XGBoost,0.00439715
1000,99,XGBoost,0.00436616
1000,100,XGBoost,0.00440788
2154,1,XGBoost,0.00879335
2154,2,XGBoost,0.00877666
2154,3,XGBoost,0.00881124
2154,4,XGBoost,0.00869417
2154,5,XGBoost,0.00869226
2154,6,XGBoost,0.00878334
2154,7,XGBoost,0.00883389
2154,8,XGBoost,0.00880551
2154,9,XGBoost,0.00873661
2154,10,XGBoost,0.00879097
2154,11,XGBoost,0.00880194
2154,12,XGBoost,0.00875831
2154,13,XGBoost,0.00874901
2154,14,XGBoost,0.00877261
2154,15,XGBoost,0.00878024
2154,16,XGBoost,0.00881553
2154,17,XGBoost,0.00876832
2154,18,XGBoost,0.0088141
2154,19,XGBoost,0.00885296
2154,20,XGBoost,0.00870609
2154,21,XGBoost,0.0088098
2154,22,XGBoost,0.00879169
2154,23,XGBoost,0.00871062
2154,24,XGBoost,0.00876784
2154,25,XGBoost,0.00878549
2154,26,XGBoost,0.00874329
2154,27,XGBoost,0.00875211
2154,28,XGBoost,0.00880504
2154,29,XGBoost,0.00880742
2154,30,XGBoost,0.00884628
2154,31,XGBoost,0.00876498
2154,32,XGBoost,0.00873566
2154,33,XGBoost,0.00883412
2154,34,XGBoost,0.00876999
2154,35,XGBoost,0.00876117
2154,36,XGBoost,0.00877428
2154,37,XGBoost,0.00885272
2154,38,XGBoost,0.00874901
2154,39,XGBoost,0.00881386
2154,40,XGBoost,0.00881767
2154,41,XGBoost,0.00878477
2154,42,XGBoost,0.00885272
2154,43,XGBoost,0.00878978
2154,44,XGBoost,0.00872636
2154,45,XGBoost,0.00877357
2154,46,XGBoost,0.00874925
2154,47,XGBoost,0.00884128
2154,48,XGBoost,0.0316699
2154,49,XGBoost,0.00883579
2154,50,XGBoost,0.00878978
2154,51,XGBoost,0.00877094
2154,52,XGBoost,0.00881195
2154,53,XGBoost,0.00874972
2154,54,XGBoost,0.00874352
2154,55,XGBoost,0.00879478
2154,56,XGBoost,0.00871587
2154,57,XGBoost,0.00884008
2154,58,XGBoost,0.0087862
2154,59,XGBoost,0.00878119
2154,60,XGBoost,0.00880146
2154,61,XGBoost,0.00875568
2154,62,XGBoost,0.00873256
2154,63,XGBoost,0.00875711
2154,64,XGBoost,0.00888562
2154,65,XGBoost,0.00880957
2154,66,XGBoost,0.00871921
2154,67,XGBoost,0.00879383
2154,68,XGBoost,0.00879693
2154,69,XGBoost,0.00878549
2154,70,XGBoost,0.00879383
2154,71,XGBoost,0.00878525
2154,72,XGBoost,0.00882816
2154,73,XGBoost,0.00876379
2154,74,XGBoost,0.00878191
2154,75,XGBoost,0.00877404
2154,76,XGBoost,0.00874996
2154,77,XGBoost,0.00876188
2154,78,XGBoost,0.00888133
2154,79,XGBoost,0.00874925
2154,80,XGBoost,0.00890326
2154,81,XGBoost,0.0087378
2154,82,XGBoost,0.0088408
2154,83,XGBoost,0.00874829
2154,84,XGBoost,0.00876307
2154,85,XGBoost,0.00880694
2154,86,XGBoost,0.00887227
2154,87,XGBoost,0.00890565
2154,88,XGBoost,0.00874424
2154,89,XGBoost,0.00887489
2154,90,XGBoost,0.00876117
2154,91,XGBoost,0.00877404
2154,92,XGBoost,0.00873923
2154,93,XGBoost,0.00872636
2154,94,XGBoost,0.00872612
2154,95,XGBoost,0.00880909
2154,96,XGBoost,0.00880957
2154,97,XGBoost,0.00869298
2154,98,XGBoost,0.00878811
2154,99,XGBoost,0.00878191
2154,100,XGBoost,0.0299096
4641,1,XGBoost,0.018122
4641,2,XGBoost,0.0181646
4641,3,XGBoost,0.0181122
4641,4,XGBoost,0.018249
4641,5,XGBoost,0.0182686
4641,6,XGBoost,0.0182045
4641,7,XGBoost,0.0181787
4641,8,XGBoost,0.0181432
4641,9,XGBoost,0.0182569
4641,10,XGBoost,0.0182528
4641,11,XGBoost,0.0182168
4641,12,XGBoost,0.0181162
4641,13,XGBoost,0.0182729
4641,14,XGBoost,0.0181589
4641,15,XGBoost,0.0181015
4641,16,XGBoost,0.0182202
4641,17,XGBoost,0.018065
4641,18,XGBoost,0.0179713
4641,19,XGBoost,0.0180504
4641,20,XGBoost,0.0180066
4641,21,XGBoost,0.0180542
4641,22,XGBoost,0.018213
4641,23,XGBoost,0.0182288
4641,24,XGBoost,0.0181136
4641,25,XGBoost,0.0180874
4641,26,XGBoost,0.0181191
4641,27,XGBoost,0.0181167
4641,28,XGBoost,0.0180035
4641,29,XGBoost,0.0180573
4641,30,XGBoost,0.0181205
4641,31,XGBoost,0.018198
4641,32,XGBoost,0.0181856
4641,33,XGBoost,0.0181055
4641,34,XGBoost,0.0182767
4641,35,XGBoost,0.0182359
4641,36,XGBoost,0.0181558
4641,37,XGBoost,0.0181808
4641,38,XGBoost,0.0182142
4641,39,XGBoost,0.0183249
4641,40,XGBoost,0.0183144
4641,41,XGBoost,0.0182557
4641,42,XGBoost,0.0182111
4641,43,XGBoost,0.0183432
4641,44,XGBoost,0.0181558
4641,45,XGBoost,0.018163
4641,46,XGBoost,0.0182512
4641,47,XGBoost,0.0183146
4641,48,XGBoost,0.0405395
4641,49,XGBoost,0.0180824
4641,50,XGBoost,0.0181494
4641,51,XGBoost,0.0181613
4641,52,XGBoost,0.0182493
4641,53,XGBoost,0.0181918
4641,54,XGBoost,0.0180182
4641,55,XGBoost,0.0179422
4641,56,XGBoost,0.0179915
4641,57,XGBoost,0.0179567
4641,58,XGBoost,0.0181551
4641,59,XGBoost,0.0181303
4641,60,XGBoost,0.0180323
4641,61,XGBoost,0.0180941
4641,62,XGBoost,0.0181103
4641,63,XGBoost,0.018075
4641,64,XGBoost,0.0182056
4641,65,XGBoost,0.0181596
4641,66,XGBoost,0.0181091
4641,67,XGBoost,0.0182378
4641,68,XGBoost,0.0182328
4641,69,XGBoost,0.018218
4641,70,XGBoost,0.0181119
4641,71,XGBoost,0.0180724
4641,72,XGBoost,0.0180802
4641,73,XGBoost,0.0181072
4641,74,XGBoost,0.0180318
4641,75,XGBoost,0.018137
4641,76,XGBoost,0.0182095
4641,77,XGBoost,0.018038
4641,78,XGBoost,0.0180697
4641,79,XGBoost,0.0181384
4641,80,XGBoost,0.0181148
4641,81,XGBoost,0.0181358
4641,82,XGBoost,0.0181873
4641,83,XGBoost,0.018121
4641,84,XGBoost,0.0180855
4641,85,XGBoost,0.0181987
4641,86,XGBoost,0.0182264
4641,87,XGBoost,0.0182409
4641,88,XGBoost,0.0181096
4641,89,XGBoost,0.0182288
4641,90,XGBoost,0.0182655
4641,91,XGBoost,0.018188
4641,92,XGBoost,0.0181766
4641,93,XGBoost,0.0182788
4641,94,XGBoost,0.0182366
4641,95,XGBoost,0.0181408
4641,96,XGBoost,0.0388324
4641,97,XGBoost,0.0180211
4641,98,XGBoost,0.0179565
4641,99,XGBoost,0.0179708
4641,100,XGBoost,0.018002
10000,1,XGBoost,0.035131
10000,2,XGBoost,0.0349598
10000,3,XGBoost,0.035234
10000,4,XGBoost,0.0351646
10000,5,XGBoost,0.0354128
10000,6,XGBoost,0.0352616
10000,7,XGBoost,0.0353954
10000,8,XGBoost,0.035249
10000,9,XGBoost,0.0352938
10000,10,XGBoost,0.0353303
10000,11,XGBoost,0.0353963
10000,12,XGBoost,0.0354195
10000,13,XGBoost,0.0353172
10000,14,XGBoost,0.0354271
10000,15,XGBoost,0.0353384
10000,16,XGBoost,0.0351968
10000,17,XGBoost,0.0350988
10000,18,XGBoost,0.0351167
10000,19,XGBoost,0.0352647
10000,20,XGBoost,0.035152
10000,21,XGBoost,0.0352039
10000,22,XGBoost,0.0352552
10000,23,XGBoost,0.0353506
10000,24,XGBoost,0.0351849
10000,25,XGBoost,0.035213
10000,26,XGBoost,0.0353341
10000,27,XGBoost,0.0353711
10000,28,XGBoost,0.0354612
10000,29,XGBoost,0.0352983
10000,30,XGBoost,0.0353837
10000,31,XGBoost,0.0353601
10000,32,XGBoost,0.035367
10000,33,XGBoost,0.03527
10000,34,XGBoost,0.0363293
10000,35,XGBoost,0.0351517
10000,36,XGBoost,0.0351892
10000,37,XGBoost,0.035085
10000,38,XGBoost,0.0352387
10000,39,XGBoost,0.0353303
10000,40,XGBoost,0.0352514
10000,41,XGBoost,0.0352347
10000,42,XGBoost,0.0353858
10000,43,XGBoost,0.0353935
10000,44,XGBoost,0.0566952
10000,45,XGBoost,0.0353031
10000,46,XGBoost,0.0352592
10000,47,XGBoost,0.0352764
10000,48,XGBoost,0.0352683
10000,49,XGBoost,0.0354688
10000,50,XGBoost,0.0354636
10000,51,XGBoost,0.0353811
10000,52,XGBoost,0.0354693
10000,53,XGBoost,0.0353251
10000,54,XGBoost,0.0352416
10000,55,XGBoost,0.0353656
10000,56,XGBoost,0.0352454
10000,57,XGBoost,0.0350862
10000,58,XGBoost,0.0353296
10000,59,XGBoost,0.0352287
